typology,rent,building,unit
2D1B,430612,Independencia,4
1D1B,295200,Independencia,4
1D1B,290200,Independencia,4
1D1B,269025,Independencia,4
1D1B,290394,Independencia,4
1D1B,279006,Independencia,4
1D1B,279006,Independencia,4
1D1B,279006,Independencia,4
2D1B,448188,Independencia,4
2D1B,431102,Independencia,4
1D1B,299574,Independencia,4
2D1B,448698,Independencia,4
1D1B,300084,Independencia,4
1D1B,279006,Independencia,4
2D1B,422282,Independencia,4
1D1B,286700,Independencia,4
1D1B,290394,Independencia,4
1D1B,290394,Independencia,4
2D1B,449208,Independencia,4
1D1B,300084,Independencia,4
2D2B,501231,Independencia,4
1D1B,288806,Independencia,4
1D1B,300594,Independencia,4
1D1B,300594,Independencia,4
1D1B,301104,Independencia,4
2D2B,522199,Independencia,4
1D1B,301104,Independencia,4
2D2B,522709,Independencia,4
2D2B,502211,Independencia,4
1D1B,289786,Independencia,4
1D1B,289786,Independencia,4
1D1B,301614,Independencia,4
1D1B,302124,Independencia,4
2D2B,523219,Independencia,4
2D1B,433552,Independencia,4
1D1B,298200,Independencia,4
1D1B,302124,Independencia,4
2D1B,451248,Independencia,4
1D1B,302124,Independencia,4
1D1B,302634,Independencia,4
1D1B,302634,Independencia,4
1D1B,303144,Independencia,4
1D1B,291256,Independencia,4
1D1B,290904,Independencia,4
1D1B,279496,Independencia,4
1D1B,279496,Independencia,4
1D1B,279496,Independencia,4
1D1B,279496,Independencia,4
2D1B,422772,Independencia,4
1D1B,303144,Independencia,4
1D1B,291746,Independencia,4
1D1B,291746,Independencia,4
1D1B,303654,Independencia,4
1D1B,287200,Independencia,4
1D1B,282200,Independencia,4
1D1B,290904,Independencia,4
2D2B,512509,Independencia,4
1D1B,291414,Independencia,4
1D1B,279986,Independencia,4
1D1B,279986,Independencia,4
1D1B,279986,Independencia,4
1D1B,287700,Independencia,4
1D1B,282700,Independencia,4
1D1B,280476,Independencia,4
1D1B,280476,Independencia,4
1D1B,288200,Independencia,4
1D1B,283200,Independencia,4
1D1B,287956,Independencia,4
1D1B,287956,Independencia,4
1D1B,280966,Independencia,4
1D1B,288700,Independencia,4
1D1B,283700,Independencia,4
1D1B,292434,Independencia,4
1D1B,288463,Independencia,4
1D1B,288463,Independencia,4
2D1B,424732,Independencia,4
1D1B,289200,Independencia,4
1D1B,284200,Independencia,4
1D1B,288971,Independencia,4
1D1B,288971,Independencia,4
1D1B,281946,Independencia,4
1D1B,284700,Independencia,4
1D1B,293454,Independencia,4
1D1B,293964,Independencia,4
1D1B,294553,Independencia,4
1D1B,289478,Independencia,4
1D1B,294553,Independencia,4
2D1B,425712,Independencia,4
1D1B,289478,Independencia,4
1D1B,282436,Independencia,4
1D1B,290200,Independencia,4
1D1B,285200,Independencia,4
1D1B,293964,Independencia,4
2D1B,368656,Ecuador,2
2D1B,363706,Ecuador,2
2D2B,390769,Ecuador,2
1D1B,304313,Ecuador,2
1D1B,261590,Ecuador,2
1D1B,243500,Ecuador,2
1D1B,283800,Ecuador,2
1D1B,283800,Ecuador,2
1D1B,227000,Ecuador,2
1D2B,288800,Ecuador,2
1D1B,310000,Ejercito,3
1D1B,300000,Ejercito,3
1D1B,305000,Ejercito,3
1D1B,294462,Ejercito,3
1D1B,290000,Ejercito,3
1D1B,310000,Ejercito,3
2D2B,460000,Ejercito,3
1D1B,285020,Ejercito,3
2D2B,470000,Ejercito,3
